City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Socorro,31.6546,-106.3033,80.06,29,20,5.75,few clouds
1,Tasiilaq,65.6145,-37.6368,36.7,99,100,5.5,moderate rain
2,Beyneu,45.3167,55.2,55.04,45,52,12.37,broken clouds
3,Kapaa,22.0752,-159.319,85.98,71,0,13.8,clear sky
4,Awbari,26.5921,12.7805,82.06,16,0,8.9,clear sky
5,Palmer,42.1584,-72.3287,58.24,62,100,5.75,overcast clouds
6,Albany,42.6001,-73.9662,57.06,73,21,7.31,few clouds
7,Rikitea,-23.1203,-134.9692,73.54,73,0,13.47,clear sky
8,Ushuaia,-54.8,-68.3,40.66,60,20,16.11,few clouds
9,Hervey Bay,-25.2986,152.8535,69.21,70,22,7.99,light rain
10,Cape Town,-33.9258,18.4232,60.39,82,0,3.44,clear sky
11,Hithadhoo,-0.6,73.0833,81.34,70,45,14.52,scattered clouds
12,Chuy,-33.6971,-53.4616,53.31,92,94,4.09,overcast clouds
13,Bluff,-46.6,168.3333,50.14,62,11,8.37,few clouds
14,Faanui,-16.4833,-151.75,78.57,66,28,12.37,scattered clouds
15,Byron Bay,-28.65,153.6167,56.64,94,100,8.55,overcast clouds
16,Rio Gallegos,-51.6226,-69.2181,41.45,56,0,8.03,clear sky
17,Castro,-24.7911,-50.0119,56.19,94,0,1.92,clear sky
18,Port Alfred,-33.5906,26.891,61.12,82,88,3.18,overcast clouds
19,Nikolskoye,59.7035,30.7861,42.69,93,100,3.02,overcast clouds
20,Kaga,36.2997,136.3145,75.72,56,13,3.15,few clouds
21,Kruisfontein,-34.0033,24.7314,53.65,88,47,4.63,scattered clouds
22,Raudeberg,61.9875,5.1352,48.87,36,26,14.14,scattered clouds
23,Carnarvon,-24.8667,113.6333,72.28,55,0,11.18,clear sky
24,Avarua,-21.2078,-159.775,75.25,57,75,11.5,broken clouds
25,Fortuna,40.5982,-124.1573,62.91,79,79,5.01,broken clouds
26,New Norfolk,-42.7826,147.0587,64.71,33,64,7.83,broken clouds
27,Namibe,-15.1961,12.1522,64.11,91,21,3.96,few clouds
28,Bara,10.3744,10.7288,72.97,86,100,3.47,overcast clouds
29,Yulara,-25.2406,130.9889,64.24,88,100,11.5,overcast clouds
30,Saskylakh,71.9167,114.0833,30.78,97,100,12.1,light snow
31,Iqaluit,63.7506,-68.5145,26.33,79,20,13.8,few clouds
32,Whyalla,-33.0333,137.5833,71.46,39,96,6.11,overcast clouds
33,Dikson,73.5069,80.5464,33.22,98,100,13.0,light snow
34,Torbay,47.6666,-52.7314,54.57,90,100,8.99,overcast clouds
35,Lagoa,39.05,-27.9833,71.15,86,91,26.93,overcast clouds
36,Busselton,-33.65,115.3333,57.07,68,100,16.49,overcast clouds
37,Kavieng,-2.5744,150.7967,84.43,69,24,9.98,few clouds
38,Volksrust,-27.3654,29.8818,54.12,94,13,2.15,few clouds
